tag,frequency,percentage
tabular classification,98,0.045665717627432975
translation,97,0.04519974091694897
sampling,95,0.044267787495980954
outlier analysis,92,0.04286985736452892
korea,92,0.04286985736452892
adversarial learning,91,0.04240388065404491
bayesian statistics,90,0.0419379039435609
model explainability,89,0.04147192723307689
geography and places,89,0.04147192723307689
museums,86,0.04007399710162486
dnn,86,0.04007399710162486
naive bayes,85,0.03960802039114085
reinforcement learning,84,0.039142043680656845
golf,84,0.039142043680656845
pca,84,0.039142043680656845
retrieval/ranking,83,0.03867606697017283
dimensionality reduction,82,0.03821009025968882
summarization,82,0.03821009025968882
retrieval question answering,77,0.03588020670726877
image-to-image,75,0.034948253286300746
yolov5,75,0.034948253286300746
persian,74,0.03448227657581674
hugging face,74,0.03448227657581674
physical science,72,0.033550323154848724
tpu,72,0.033550323154848724
tennis,71,0.03308434644436471
dance,69,0.03215239302339669
vietnamese,67,0.031220439602428672
speech-to-text,67,0.031220439602428672
german,67,0.031220439602428672
spaCy,62,0.028890556050008624
text conversation,62,0.028890556050008624
benchmark dataset,60,0.0279586026290406
sentence similarity,55,0.02562871907662055
transformer,55,0.02562871907662055
image text detection,52,0.02423078894516852
knn,52,0.02423078894516852
other,50,0.0232988355242005
graph neural network,50,0.0232988355242005
racial equity,49,0.022832858813716488
torchvision,49,0.022832858813716488
text-to-speech,47,0.02190090539274847
pose detection,47,0.02190090539274847
hindi,46,0.02143492868226446
volleyball,46,0.02143492868226446
accelerators,46,0.02143492868226446
water sports,45,0.02096895197178045
ukrainian,44,0.02050297526129644
randomForest,44,0.02050297526129644
image super resolution,44,0.02050297526129644
crowdfunding,43,0.02003699855081243
japanese,43,0.02003699855081243
token classification,43,0.02003699855081243
unet,41,0.01910504512984441
denoising,40,0.018639068419360402
oceania,40,0.018639068419360402
data type,40,0.018639068419360402
text-to-image,40,0.018639068419360402
speech synthesis,39,0.01817309170887639
lightgbm,38,0.01770711499839238
scipy,38,0.01770711499839238
nepali,34,0.015843208156456342
italian,34,0.015843208156456342
audio synthesis,33,0.01537723144597233
urdu,33,0.01537723144597233
lubridate,32,0.01491125473548832
convolution,32,0.01491125473548832
image style transfer,32,0.01491125473548832
multilingual,31,0.014445278025004312
mountains,31,0.014445278025004312
text segmentation,29,0.01351332460403629
audio event classification,28,0.013047347893552282
korean,27,0.01258137118306827
tamil,26,0.01211539447258426
polish,26,0.01211539447258426
chinese (taiwan),26,0.01211539447258426
aesthetic quality,24,0.011183441051616241
vision transformer,24,0.011183441051616241
deserts,23,0.01071746434113223
image depth estimation,23,0.01071746434113223
image feature vector,22,0.01025148763064822
thai,22,0.01025148763064822
resnet,22,0.01025148763064822
video generation,21,0.009785510920164211
distance,19,0.00885355749919619
dutch,18,0.008387580788712181
vae,18,0.008387580788712181
antarctica,17,0.007921604078228171
forcats,17,0.007921604078228171
PIL,17,0.007921604078228171
re,17,0.007921604078228171
tidyr,17,0.007921604078228171
catboost,17,0.007921604078228171
corrplot,16,0.00745562736774416
multitask classification,16,0.00745562736774416
video text,15,0.00698965065726015
gpt2,15,0.00698965065726015
image classification logits,14,0.006523673946776141
sinhala,14,0.006523673946776141
mobilenet v2,14,0.006523673946776141
zero-shot text classification,14,0.006523673946776141
learn,13,0.00605769723629213
vgg-style,13,0.00605769723629213
audio-to-audio,13,0.00605769723629213
coding,13,0.00605769723629213
os,12,0.005591720525808121
armenian,12,0.005591720525808121
danish,12,0.005591720525808121
burmese,12,0.005591720525808121
gymnastics,11,0.00512574381532411
readr,11,0.00512574381532411
word2vec skip-gram,11,0.00512574381532411
serbian,11,0.00512574381532411
faster r-cnn,11,0.00512574381532411
estonian,11,0.00512574381532411
kannada,10,0.0046597671048401006
azerbaijani,10,0.0046597671048401006
sanskrit,10,0.0046597671048401006
densenet,10,0.0046597671048401006
efficientnet,9,0.0041937903943560905
jsonlite,9,0.0041937903943560905
pashto,9,0.0041937903943560905
pushto,9,0.0041937903943560905
bulgarian,9,0.0041937903943560905
swedish,9,0.0041937903943560905
telugu,8,0.00372781368387208
leaflet,8,0.00372781368387208
malayalam,8,0.00372781368387208
uzbek,8,0.00372781368387208
hebrew,8,0.00372781368387208
roberta,8,0.00372781368387208
video audio text,8,0.00372781368387208
caret,7,0.0032618369733880704
imagenet 2012 classification,7,0.0032618369733880704
kazakh,7,0.0032618369733880704
batch normalization,7,0.0032618369733880704
text sequence alignment,7,0.0032618369733880704
marathi,7,0.0032618369733880704
1x1 convolution,7,0.0032618369733880704
dehazing,7,0.0032618369733880704
whisper,7,0.0032618369733880704
evaluation,7,0.0032618369733880704
multilingual and cross-lingual capabilities,7,0.0032618369733880704
malay,6,0.0027958602629040603
mask r-cnn,6,0.0027958602629040603
hungarian,6,0.0027958602629040603
amharic,6,0.0027958602629040603
gujarati,6,0.0027958602629040603
multiple,6,0.0027958602629040603
image extrapolation,6,0.0027958602629040603
sindhi,6,0.0027958602629040603
albanian,5,0.0023298835524200503
tqdm,5,0.0023298835524200503
yoruba,5,0.0023298835524200503
doParallel,5,0.0023298835524200503
belarusian,5,0.0023298835524200503
inception v3,5,0.0023298835524200503
movinet,5,0.0023298835524200503
kurdish,5,0.0023298835524200503
